
Data Item Number,Data Item Name,Length,Source of Standard,Record Type,Section Name,XML NAACCR ID,Parent XML Element,Year Implemented,Version Implemented,Year Retired,Version Retired,NPCR Collect,CoC Collect,SEER Collect,CCCR Collect,Description,Rationale,Clarification,General Notes,Instructions for Coding,Allowable Values,Format,Data Type,Code Notes,Record Layout Table Note,Required Status Table Note,Data Descriptor Table Note,Record Layout Note,Required Status Note,Data Descriptor Note,Data Dictionary Description Note,Data Dictionary Rationale Note,Data Dictionary Code Note
2078,Over-ride Name/Sex,1,NAACCR,"A,C,I,M",Edit Overrides/Conversion History/System Admin,overRideNameSex,Patient,2018,18,,,R,.,R,.,"Some computer edits identify errors. Others indicate possible errors that require manual review for resolution. To eliminate the need to review the same cases repeatedly, over-ride flags have been developed to indicate that data in a record (or records) have been reviewed and, while unusual, are correct.

This over-ride is used with the following edit in the NAACCR Metafile of the EDITS software:

*   Sex, Name-First, Date of Birth (NAACCR)","Some edits check for code combinations that are possible, but quite rare. If the code combination generates an error message and review of the case indicates that the codes are correct for the case, then the over-ride flag is used to skip the edit in the future. See [**Standards for Cancer Registries, Standard Data Edits**](https://www.naaccr.org/standard-data-edits/)**.** Over-ride flag as used in the EDITS Software Package Edits of the type Sex, Name does not allow extremely rare or nonexistent combinations of first name and sex, such as John/female.",,,**Codes**,"1, Blank",,digits,"_Note_: Leave blank if the program does not generate an error message for the edit Sex, Name-First, Date of Birth (NAACCR)",,,,,,,,,
2085,Date Case Initiated,8,NAACCR,"A,C,I,M",Edit Overrides/Conversion History/System Admin,dateCaseInitiated,Tumor,2010,12,,,.,.,.,.,Date the electronic abstract is initiated in the reporting facility's cancer registry database. See [**Data Descriptor Table**](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/data-descriptor-table/) for date format. Standard edits check that no dates are later than the current date or the date completed.,"This item is used to assess and monitor the timeliness of reporting. Timeliness of abstracting (and reporting) is a concern for all standard-setting organizations and consequently, timeliness standards have been established. Examples of use are as follows:

*   This item can be used with the Date of 1^st^Contact \[580\] to measure timeliness of abstracting by individual reporting facilities.
*   This item can be used with Date Case Report Exported \[2110\] to determine the ""residency time"" of a case report within a reporting facility's database prior to data transmission to a central cancer registry.
*   This item can be used with Date Case Report Received \[2111\] to monitor central registry timeliness in entering case reports (for case reports abstracted in-house from hardcopy provided by a reporting facility).
*   This item can be used with Date Case Completed \[2090\] to monitor timeliness of case report completion.",,,,Valid date,YYYYMMDD,date,,,,,,,,,,
2090,Date Case Completed,8,NAACCR,"A,C,I,M",Edit Overrides/Conversion History/System Admin,dateCaseCompleted,Tumor,,,,,.,.,.,.,The date that: (1) the abstractor decided that the tumor report was complete and (2) the case passed all edits that were applied. Definitions may vary among registries and software providers. This field is locally used by central registries. See [**Data Descriptor Table**](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/data-descriptor-table/) for date format. Standard edits check that no dates are later than the current date. These specifications will not necessarily be the same as those used for Date Case Completed--CoC \[2092\].,,,,,Valid date,YYYYMMDD,date,,,,,,,,,,
2092,Date Case Completed--CoC,8,CoC,"A,C,I,M",Edit Overrides/Conversion History/System Admin,dateCaseCompletedCoc,Tumor,2010,12,,,.,D,.,.,"Identifies the date that specified items are completed, based on the Class of Case, where those items pass the relevant edits. Follow-up information, including delayed treatment received elsewhere, may be coded after the Date Case Completed--CoC. See the current [_STORE_](http://www.facs.org/cancer/coc/fordsmanual.html) for details. This item should be autocoded by the registry software; specifications may be obtained from NCDB. The CoC specifications will not necessarily be the same as those used for Date Case Completed \[2090\]. See [**Data Descriptor Table**](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/data-descriptor-table/) for date format.",,,,,Valid date,YYYYMMDD,date,,,,,,,,,,
2100,Date Case Last Changed,8,NAACCR,"A,C,I,M",Edit Overrides/Conversion History/System Admin,dateCaseLastChanged,Tumor,,,,,.,D,.,.,Date the case was last changed or updated. See [**Data Descriptor Table**](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/data-descriptor-table/) for date format. Standard edits check that no dates are later than the current date.,,,,,Valid date,YYYYMMDD,date,,,,,,,,,,
2110,Date Case Report Exported,8,NPCR,"A,C,I,M",Edit Overrides/Conversion History/System Admin,dateCaseReportExported,Tumor,,,,,R,.,R,.,Date the reporting facility exports the electronic abstract to a file for transmission to the central registry. See [**Data Descriptor Table**](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/data-descriptor-table/) for date format. Standard edits check that no dates are later than the current date. Definitions may vary among registries and software providers.,,,,,Valid date,YYYYMMDD,date,,,,,,,,,,
2111,Date Case Report Received,8,NPCR,"A,C,I,M",Edit Overrides/Conversion History/System Admin,dateCaseReportReceived,Tumor,1997,5.1,,,R,.,R,.,"Date the abstract (or source record) is received by the central cancer registry for the respective tumor. If multiple reports are received from two or more sources and if a single date is needed, use the date the first abstract (or source record) was received from any source. See Chapter [**Data Descriptor Table**](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/data-descriptor-table/) for date format.",This item is used to assess and monitor the timeliness of reporting. Timeliness of abstracting (and reporting) is a concern for all standard-setting organizations. This item can be used with the Date of 1st Contact \[580\] or the Path--Date of Specimen Collection \[7320\] to measure timeliness of reporting to central cancer registries by individual reporting facilities. This data item also can be used with the Date Tumor Record Availbl \[2113\] to measure timeliness of processing within the central cancer registry.,,,,Valid date,YYYYMMDD,date,,,,,,,,,,
2112,Date Case Report Loaded,8,NPCR,"A,C,I,M",Edit Overrides/Conversion History/System Admin,dateCaseReportLoaded,Tumor,1997,5.1,,,R,.,R,.,"Date the tumor report is loaded into a central registry computerized processing file for initiation of quality control activities (e.g., visual editing, application of computerized edits, etc.). See [**Data Descriptor Table**](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/data-descriptor-table/) for date format.",,,,,Valid date,YYYYMMDD,date,,,,,,,,,,
2113,Date Tumor Record Availbl,8,NPCR,"A,C,I,M",Edit Overrides/Conversion History/System Admin,dateTumorRecordAvailbl,Tumor,1997,5.1,,,R,.,D,.,"Date the demographic and tumor identification information on a primary/reportable neoplasm, compiled from one or more source records, from one or more facilities, is available in the central cancer registry database to be counted as an incident tumor. Cancer identification information includes, at a minimum, site, histology, laterality, behavior, and date of diagnosis. See [**Data Descriptor Table**](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/data-descriptor-table/) for date format.",This item is used to assess and monitor the timeliness of reporting. Timeliness of abstracting (and reporting) is a concern for all standard-setting organizations. This data item can be used with the Date Case Report Received \[2111\] to measure timeliness of processing within the central cancer registry. This item also can be used with the Date of 1st Contact \[580\] or the Path--Date of Specimen Collection \[7320\] to measure overall timeliness.,,,,Valid date,YYYYMMDD,date,,,,,,,,,,
2116,ICD-O-3 Conversion Flag,1,SEER,"A,C,I,M",Edit Overrides/Conversion History/System Admin,icdO3ConversionFlag,Tumor,2001,9,,,R,.,R,.,Code specifying how the conversion of site and morphology codes from ICD-O-2 to ICD-O-3 was accomplished.,,,,**Codes**,"Blank, 0, 1, 3",,digits,,,,,,,,,,
2117,Schema ID Version Current,5,SEER,"A,C,I,M",Edit Overrides/Conversion History/System Admin,schemaIdVersionCurrent,Tumor,2021,21,,,D,D,D,R*,"This item indicates the version of EOD component of the SEER Staging API used to assign the 2018 and later staging fields of Schema ID, Grades, EOD input fields, SS2018, and SSDIs. This data item is recorded the first time the Schema ID is determined and should be updated each time the related input fields are modified.","Over time, the definitions for Schema ID and the input codes and instructions for Grades, EOD, SS2018, and SSDI items may change. This item identifies the correct interpretation of information recorded.",,,**Codes**,1.0-99.99,,numeric,"Schema ID Version Current is a code with up to 2 digits, a decimal and then up to 2 more digits. (e.g., 1.5, 10.12). The first two digits represent the major version number related to diagnosis year; the second two digits represent minor version changes with the diagnosis years. Minimum allowable value would be “1.0”. Maximum allowable value would be “99.99”.  Blanks would not be allowed.

This data item will be generated by registry software. No coding instructions are required.",,,,,,,,,"Added Codes 3.1, 3.2"
2118,Schema ID Version Original,5,SEER,"A,C,I,M",Edit Overrides/Conversion History/System Admin,schemaIdVersionOriginal,Tumor,2021,21,,,D,D,D,R*,"This item indicates the version of EOD component of the SEER Staging API used to assign the 2018 and later staging fields of Schema ID, Grades, EOD input fields, SS2018, and SSDIs. This data item is recorded the first time the Schema ID is determined. This data item should not be updated each time the related input fields are modified.","Over time, the definitions for Schema ID and the input codes and instructions for Grades, EOD, SS2018, and SSDI items may change. This item identifies the original instructions used to code these items.",,,**Codes**,1.0-99.99,,numeric,"Schema ID Version Original is a code with up to 2 digits, a decimal and then up to 2 more digits. (e.g., 1.5, 10.12). The first two digits represent the major version number related to diagnosis year; the second two digits represent minor version changes with the diagnosis years. Minimum allowable value would be “1.0”. Maximum allowable value would be “99.99”.  Blanks would not be allowed.  
   
This data item will be generated by registry software. No coding instructions are required.",,,,,,,,,"Added codes 3.1, 3.2"
